serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2013-01754,"CHEUNG, Stephen Y. L. Report on the HKIoD corporate governance score-card 2012",香港董事學會上市公司企業管治水準報告2012,English,Stephen Y.L. Cheung,,The Hong Kong Institute of Directors Limited,978-988-18910-4-4,,pbk.,,Unpriced,,,,,,Hong Kong,2012,"41, 39 p. : charts ; 21 cm.",Text in Chinese and English,
2013-00599,CHINA 33 MEDIA GROUP LIMITED China 33 Media Group Limited third quarterly report 2012,中國三三傳媒集團有限公司第三季度業績報告2012,English,,,China 33 Media Group Limited,,,,,,,,,,,Hong Kong,2012,"14, 14 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01269,"CHINA ALL ACCESS (HOLDINGS) LIMITED China All Access (Holdings) Limited (1) Very substantial acquisition involving acquisition of interest in a PRC mobile terminals and parts supplier, (2) Issue of subscription shares and (3) Issue of convertible bonds, 5 December 2012","中國全通(控股)有限公司(1)非常重大的收購事項涉及收購一家中國移動終端及部件供應商的權益(2)發行認購股份及(3)發行可換股債券,二零一二年十二月五日",English,,,China All Access (Holdings) Limited,,,,,,,,,,,Hong Kong,2012,"162, 162 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01258,"CHINA ALL ACCESS (HOLDINGS) LIMITED China All Access (Holdings) Limited potential continuing connected transactions : framework agreement in relation to supply of mobile terminals and parts by the target group to the ZTE Group, 14 December 2012","中國全通(控股)有限公司潛在持續關連交易:有關目標集團向中興集團供應移動終端及部件的框協議,二零一二年十二月十四日",English,,,China All Access (Holdings) Limited,,,,,,,,,,,Hong Kong,2012,"30, 30 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00648,CHINA ASSURANCE FINANCE GROUP LIMITED China Assurance Finance Group Limited third quarterly report 2012,中國融保金融集團有限公司第三季業績報告2012,English,,,China Assurance Finance Group Limited,,,,,,,,,,,Hong Kong,2012,24 p. ; 21 cm.,Text in Chinese and English Unpriced (pbk.),
2013-00597,CHINA AUTOMOTIVE INTERIOR DECORATION HOLDINGS LIMITED China Automotive Interior Decoration Holdings Limited 2012 third quarterly report,中國汽車內飾集團有限公司2012第三季度業績報告,English,,,China Automotive Interior Decoration Holdings Limited,,,,,,,,,,,Hong Kong,2012,16 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-01526,"CHINA BIO CASSAVA HOLDINGS LIMITED China Bio Cassava Holdings Limited expiry of subscription rights attached to the warrants 2013, 21 January 2013","中國生物資源控股有限公司2013年認股權證所附認股權屆滿,二零一三年一月二十一日",English,,,China Bio Cassava Holdings Limited,,,,,,,,,,,Hong Kong,2013,"2, 2 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01249,CHINA BIO-MED REGENERATION TECHNOLOGY LIMITED China Bio-Med Regeneration Technology Limited interim report 2012,中國生物醫學再生科技有限公司中期報告2012,English,,,China Bio-Med Regeneration Technology Limited,,,,,,,,,,,Hong Kong,2012,31 p. ; 21 cm.,Text in Chinese and English Unpriced (pbk.),
2013-00606,CHINA BOON HOLDINGS LIMITED China Boon Holdings Limited interim report 2013,中福控股發展有限公司中期報告2013,English,,,China Boon Holdings Limited,,,,,,,,,,,Hong Kong,2013,"36, 36 p. ; 29 cm.",Glossary Unpriced (pbk.),
2013-00653,CHINA E-LEARNING GROUP LIMITED China E-Learning Group Limited 2012 third quarterly report,中國網絡教育集團有限公司2012第三季度業績報告,English,,,China E-Learning Group Limited,,,,,,,,,,,Hong Kong,2012,"16, 16 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01942,CHINA ENVIRONMENTAL ENERGY INVESTMENT LIMITED China Environmental Energy Investment Limited interim report 2012/2013,中國環保能源投資有限公司中期報告2012,English,2013,,China Environmental Energy Investment Limited,,,,,,,,,,,Hong Kong,2012,"44, 44 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01268,CHINA FORTUNE FINANCIAL GROUP LIMITED China Fortune Financial Group Limited interim report 2012,中國富強金融集團有限公司中期報告2012,English,,,China Fortune Group Limited,,,,,,,,,,,Hong Kong,2012,"40, 40 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00659,CHINA FORTUNE INVESTMENTS (HOLDING) LIMITED China Fortune Investments (Holding) Limited third quarterly report 2012,中國幸福投資(控股)有限公司第三季度業績報告2012,English,,,China Fortune Investments (Holding) Limited,,,,,,,,,,,Hong Kong,2012,"20, 20 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01938,CHINA HEALTHCARE HOLDINGS LIMITED China Healthcare Holdings Limited interim report 2012,中國衛生控股有限公司中期報告2012,English,,,China Healthcare Holdings Limited,,,,,,,,,,,Hong Kong,2012,"30, 30 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01960,CHINA-HONGKONG PHOTO PRODUCTS HOLDINGS LIMITED China-Hongkong Photo Products Holdings Limited interim report 2012/13,中港照相器材集團有限公司中期業績報告2012,English,13,,China-Hongkong Photo Products Holdings Limited,,,,,,,,,,,Hong Kong,2012,32 p. ; 30 cm.,Unpriced (pbk.),
2013-01253,CHINA INVESTMENT DEVELOPMENT LIMITED China Investment Development Limited interim report 2012,中國投資開發有限公司中期報告2012,English,,,China Investment Development Limited,,,,,,,,,,,Hong Kong,2012,"34, 34 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01527,"CHINA ITS (HOLDINGS) COMPANY LIMITED China ITS (Holdings) Company Limited major transaction in relation to the issue of preferred shares by Bestvilla Investments Limited and potential continuing connected transaction in relation to the technology license agreement , 18 January 2013","中國智能交通系統(控股)有限公司有關Bestvilla Investments Limited發行優先股的主要交易及有關技術特許權協議的潛在持續關連交易,二零一三年一月十八日",English,,,China ITS (Holdings) Company Limited,,,,,,,,,,,Hong Kong,2013,"34, 34 p. : charts ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00664,CHINA LEASON CBM & SHALE GAS GROUP COMPANY LIMITED China Leason CBM & Shale Gas Group Company Limited third quarterly report 2012,中國聯盛煤層氣頁岩氣產業集團有限公司2012第三季度報告,English,,,China Leason CBM & Shale Gas Group Company Limited,,,,,,,,,,,Hong Kong,2012,36 p. ; 21 cm.,Text in Chinese and English Unpriced (pbk.),
2013-00621,CHINA MOTION TELECOM INTERNATIONAL LIMITED China Motion Telecom International Limited interim report 2012/13,潤迅通信國際有限公司2012,English,13中期報告,,China Motion Telecom International Limited,,,,,,,,,,,Hong Kong,2012,"40, 40 p. ; 24 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00651,CHINA NENG XIAO TECHNOLOGY (GROUP) LIMITED China Neng Xiao Technology (Group) Limited interim report 2012-2013,中國能效科技(集團)有限公司2012-2013中期業績報告,English,,,China Neng Xiao Technology (Group) Limited,,,,,,,,,,,Hong Kong,2012,"30, 30 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00662,CHINA NETCOM TECHNOLOGY HOLDINGS LIMITED China Netcom Technology Holdings Limited third quarterly report 2012,中彩網通控股有限公司第三季度報告2012,English,,,China Netcom Technology Holdings Limited,,,,,,,,,,,Hong Kong,2012,"24, 24 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00641,CHINA NUCLEAR INDUSTRY 23 INTERNATIONAL CORPORATION LIMITED China Nuclear Industry 23 International Corporation Limited interim report 2012/13,中國核工業二三國際有限公司中期報告2012,English,13,,China Nuclear Industry 23 International Corporation Limited,,,,,,,,,,,Hong Kong,2012,"32, 32 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00676,CHINA PRIMARY RESOURCES HOLDINGS LIMITED China Primary Resources Holdings Limited third quarterly report 2012,中國基礎資源控股有限公司2012第三季業績報告,English,,,China Primary Resources Holdings Limited,,,,,,,,,,,Hong Kong,2012,"22, 22 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-03107,"CHINA PUBLIC PROCUREMENT LIMITED China Public Procurement Limited proposed amendments to bye-laws and notice of the special general meeting, 9 February 2013","中國公共採購有限公司修訂公司細則之建議及股東特別大會通告,二零一三年二月九日",English,,,China Public Procurement Limited,,,,,,,,,,,Hong Kong,2013,"8, 8 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01262,"CHINA QINFA GROUP LIMITED China Qinfa Group Limited connected transaction issue of perpetual subordinated convertible securities, 11 December 2012","中國秦發集團有限公司關連交易發行永久次級可換股證券,二零一二年十二月十一日",English,,,China Qinfa Group Limited,,,,,,,,,,,Hong Kong,2012,"34, 34 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-03223,CHINA RESOURCES CEMENT HOLDINGS LIMITED China Resources Cement Holdings Limited 2012 annual report,華潤水泥控股有限公司2012年報,English,,,China Resources Cement Holdings Limited,,,,,,,,,,,Hong Kong,2013,"216 p. : col. ill., col. maps, col. port ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-03101,CHINA TIANYI HOLDINGS LIMITED China Tianyi Holdings Limited 2012/2013 interim report,中國天溢控股有限公司2012,English,2013中期報告,,China Tianyi Holdings Limited,,,,,,,,,,,Hong Kong,2013,"55, 55 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00604,CHINA U-TON HOLDINGS LIMITED China U-Ton Holdings Limited third quarterly report 2012,中國優通控股有限公司第三季度業績報告2012,English,,,China U-Ton Holdings Limited,,,,,,,,,,,Hong Kong,2012,"38, 38 p. ; 29 cm.",Unpriced (pbk.),
2013-01937,CHINA WATER AFFAIRS GROUP LIMITED China Water Affairs Group Limited interim report 2012/13,中國水務集團有限公司中期報告2012,English,13,,China Water Affairs Group Limited,,,,,,,,,,,Hong Kong,2012,"36, 36 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01355,CHINA’S baby boom dividends,,English,,,Hong Kong Trade Development Council,978-988-15644-6-7,,pbk.,$,200.00,,,,,,Hong Kong,2013,"iii, 45 p. : col. charts ; 26 cm.",HKTDC research,
2013-00656,CHINESE ENERGY HOLDINGS LIMITED Chinese Energy Holdings Limited second quarterly report 2012,華夏能源控股有限公司2012第二季度報告,English,,,Chinese Energy Holdings Limited,,,,,,,,,,,Hong Kong,2012,"34, 34 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-02758,CHINESE ENERGY HOLDINGS LIMITED Chinese Energy Holdings Limited third quarterly report 2012,華夏能源控股有限公司2012第三季度報告,English,,,Chinese Energy Holdings Limited,,,,,,,,,,,Hong Kong,2013,"18, 18 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01255,CHINESE FOOD AND BEVERAGE GROUP LIMITED Chinese Food and Beverage Group Limited interim report 2012/2013,華人飲食集團有限公司中期業績報告2012,English,2013,,Chinese Food and Beverage Group Limited,,,,,,,,,,,Hong Kong,2012,"30, 30 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00608,CHINESE PEOPLE HOLDINGS COMPANY LIMITED Chinese People Holdings Company Limited interim report 2012,中民控股有限公司中期報告2012,English,,,Chinese People Holdings Company Limited,,,,,,,,,,,Hong Kong,2012,48 p. : col. charts ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-01970,"CHINNEY INVESTMENTS, LIMITED Chinney Investments, Limited interim report 2012/13",建業實業有限公司中期報告2012,English,13,,"Chinney Investments, Limited",,,,,,,,,,,Hong Kong,2012,"32, 32 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01505,CHITTY on contracts. Hong Kong specific contracts,,English,,edited by Brian Gilchrist,Thomson Reuters Hong Kong Limited,978-962-661-480-8,,,$,6240.00,,,,,,Hong Kong,2012,"ccxii, 1749 p. ; 24 cm.",Includes bibliographical references and index,3rd ed.
2013-00030,Eunis Chan,,English,"CHIU, Donald",by Donald Chiu,Models International Limited,978-988-16965-3-3,,pbk.,$,280.00,,,,,,Hong Kong,2012,unpaged : chiefly col. ill. ; 34 cm.,,
2013-00031,Eunis Chan,,English,"CHIU, Donald",by Donald Chiu,Models International Limited,978-988-16965-8-8,,,$,480.00,,,,,,Hong Kong,2012,unpaged : chiefly col. ill. ; 35 cm.,,
2013-03608,"CHIU, Patricia P. K. A history of the Grant Schools Council : mission, vision, and transformation",,English,Patricia P.K. Chiu,,Grant Schools Council,978-988-16973-2-5,,pbk.,$,200.00,,,,,,Hong Kong,2013,"x, 294 p. : ill., port ; 24 cm.",Includes bibliographical references and index,
2013-03609,"CHIU, Patricia P. K. A history of the Grant Schools Council : mission, vision, and transformation",,English,Patricia P.K. Chiu,,Grant Schools Council,978-988-16973-1-8,,,$,250.00,,,,,,Hong Kong,2013,"x, 294 p. : ill., port ; 24 cm.",Includes bibliographical references and index,
2013-00434,"CHIU, Sung Nok Mathematics of fairness",,English,"Sung Nok Chiu, Leevan Ling",,Pearson Education Asia Limited,978-988-224-619-5,,pbk.,$,115.00,,,,,,Hong Kong,2012,"v, 141 p. : ill. ; 24 cm.",Hong Kong mathematical society texts in general education series ; 1,
2013-01968,CHOW TAI FOOK JEWELLERY GROUP LIMITED Chow Tai Fook Jewellery Group Limited interim report 2012/2013,周大福珠寶集團有限公司2012,English,2013中期報告,,Chow Tai Fook Jewellery Group Limited,,,,,,,,,,,Hong Kong,2012,52 p. : col. charts ; 29 cm.,Glossary Text in Chinese and English Unpriced (pbk.),
2013-02766,CHRISTIAN FAMILY SERVICE CENTRE Christian Family Service Centre annual report 2011-2012,基督教家庭服務中心2011- 2012年報,English,,,Christian Family Service Centre,,,,,,,,,,,Hong Kong,2013,"126 p. : col. ill., col. port ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00436,"CHUI, Hang Wai Discovering Hong Kong by SPSS",,English,,"Hang Wai Chiu, Leevan Ling",Pearson Education Asia Limited,978-988-224-621-8,,pbk.,$,115.00,,,,,,Hong Kong,2012,"v, 129 p. : ill. ; 24 cm.",Hong Kong mathematical society texts in general education series ; 3,
2013-00476,Bewitched bungalows,,English,Max Ciafardini ... [et al.],,Elephant Community Press Limited,978-988-15245-9-1,,pbk.,$,90.00,,,,,,Hong Kong,2012,106 p. : ill. ; 21 cm.,,
2013-00234,"CITIC GENERAL INSTITUTE OF ARCHITECTURAL DESIGN AND RESEARCH CO., LTD. Upward Architecture. 1952-2012 60th anniversary of the founding of giadr",巍巍廣廈.建院六十周年紀念,English,"Citic General Institute of Architectural Design and Research Co., Ltd",,China Science Literature Publishing House,978-988-16021-6-9,,pbk.,$,218.00,,,,,,Hong Kong,2012,219 p. : col. ill. ; 31 cm.,Text in simplified Chinese and English,
2013-02486,"CITY works. 5, The City College of New York, Bernard and Anne Spitzer School of Architecture : student Work 2010-2011",,English,,edited by Bradley Horn,Oscar Riera Ojeda Publishers Limited,978-988-16194-5-7,,,USD,30.00,,,,,,Hong Kong,2012,"237 p. : col. ill., plans (some col.) ; 26 cm.",,
2013-00668,CL GROUP (HOLDINGS) LIMITED CL Group (Holdings) Limited interim report 2012,昌利(控股)有限公司中期報告2012,English,,,CL Group (Holdings) Limited,,,,,,,,,,,Hong Kong,2012,"34, 34 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01354,Searching for Skye : an Arctic Tern adventure,,English,"CLARKE, Gail",written and illustrated by Gail Clarke,PPP Company Limited,978-988-8218-77-6,,,$,99.00,,,,,,Hong Kong,2013,31 p. : col. ill. ; 22 cm.,,
2013-00966,CLASSICAL charm of Jiangxi : in the Millennium Jiangxi series,,English,,edited by Lu Feng,Economic Information & Agency,978-962-531-198-2,,pbk.,$,180.00,,,,,,Hong Kong,2012,282 p. : col. ill. ; 24 cm.,,
2013-01410,CLOSE to architecture,,English,,edited by Lin Shijian,Hongkong Davinci Publishing Company Limited,978-988-18923-5-5,,,,Unpriced,,,,,,Hong Kong,2011,"409 p. : chiefly ill. (chiefly col.), plans ; 32 cm.",Includes index,
2013-00603,CODE AGRICULTURE (HOLDINGS) LIMITED Code Agriculture (Holdings) Limited interim report 2012,科地農業控股有限公司二零一二年中期報告,English,,,Code Agriculture (Holdings) Limited,,,,,,,,,,,Hong Kong,2012,"24, 24 p. ; 29 cm.",Unpriced (pbk.),
2013-01426,Leo hates girls,,English,Laurie Cohen,,Michael Neugebauer (Publishing) Limited,978-988-15955-3-9,,,GBP,11.99,,,,,,Hong Kong,2013,unpaged : col. ill. ; 30 cm.,,
2013-01205,"COLOR space : colorful, red, yellow, green, blue, purple, black & white",,English,,edited by Xiaoyu Lu,Designer Books Company Limited,978-988-19564-9-1,,,CNY,380.00,,,,,,Hong Kong,2012,384 p. : col. ill. ; 29 cm.,Includes index,
2013-00011,COMMERCIAL litigation in Hong Kong : a practical guide,,English,,edited by William Stone,Thomson Reuters Hong Kong Limited,978-962-661-477-8,,,$,2300.00,,,,,,Hong Kong,2012,"lxxvi, 508 p. ; 24 cm.",Includes bibliographical references and index,
2013-00005,COMPANY law in Hong Kong. Practice and procedure,,English,,edited by Susan Kwan,Thomson Reuters Hong Kong Limited,978-962-661-501-0,,pbk.,$,2000.00,,,,,,Hong Kong,2012,"cxi, 812 p. ; 24 cm Includes bibliographical references and index",,
2013-00022,COMPLETE drills in open clozes. 2,,English,Domingo Cheng,,Junius Publications,978-988-15990-3-2,,pbk.,$,76.00,,,,,,Hong Kong,2012,95 p. : ill. ; 26 cm.,+ 1 key (Magic eye series),
2013-00017,COMPUTIME GROUP LIMITED Computime Group Limited interim report 2012/2013,金寶通集團有限公司2012,English,2013中期報告,,Computime Group Limited,,,,,,,,,,,Hong Kong,2012,"26, 26 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-03092,CONCISE English grammar,,English,,,Original Press (Asia) Limited,978-962-86541-5-4,,pbk.,$,68.00,,,,,,Hong Kong,2012,268 p. ; 21 cm.,(Effective English learning series for Hong Kong students) Text partially in Chinese,
2013-01865,CONSOLIDATED index to all reported Hong Kong decisions. 2012 cumulative supplement issue 2,,English,,edited by Christine Yang,LexisNexis,978-988-8147-57-1,,,$,700.00,,,,,,Hong Kong,2012,"x, 179 p. ; 25 cm.",,
2013-01129,COUNT with fun. 2,,English,,,Tai Chung Publisher Limited,978-988-18785-6-4,,pbk.,$,39.00,,,,,,Hong Kong,2010,32 p. : col. ill. ; 26 cm.,Bo Bo bear’s series,
2013-01130,COUNT with fun. 4,,English,,,Tai Chung Publisher Limited,978-988-18785-8-8,,pbk.,$,39.00,,,,,,Hong Kong,2010,32 p. : col. ill. ; 26 cm.,Bo Bo bear’s series,
2013-01131,COUNT with fun. 6,,English,,,Tai Chung Publisher Limited,978-988-18785-0-2,,pbk.,$,39.00,,,,,,Hong Kong,2010,32 p. : col. ill. ; 26 cm.,Bo Bo bear’s series,
2013-00025,CREATIVE math lab : MCLQ primary mathematics problem solving strategies. 4A,,English,,edited by Soon Wan Mei,Innovative Net Learning Limited,978-988-8172-11-5,,pbk.,$,55.00,,,,,,Hong Kong,2012,95 p. : ill. ; 29 cm.,,
2013-00026,CREATIVE math lab : MCLQ primary mathematics problem solving strategies. 5A,,English,,edited by Soon Wan Mei,Innovative Net Learning Limited,978-988-8172-12-2,,pbk.,$,55.00,,,,,,Hong Kong,2012,95 p. : ill. ; 29 cm.,,
2013-00652,CREDIT CHINA HOLDINGS LIMITED Credit China Holdings Limited third quarterly report 2012,中國信貸控股有限公司第三季度報告2012,English,,,Credit China Holdings Limited,,,,,,,,,,,Hong Kong,2012,"38, 38 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
